institution,electedBody,year,startDate,endDate,resultDate,mode,eligibleVoters,totalVotes,validVotes,invalidVotes,abstentions,turnoutPercent,notes,source
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2022,,,2022-01-21,Briefwahl,36717,4716,4532,184,,12.8,,https://wahlen.uni-bonn.de/content/ergebnisse/vorl%C3%A4ufigesEndergebnis2022_korrigiert.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2021,,,2021-01-31,Briefwahl,37846,6558,6319,239,,17.3,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2021.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2020,,,2020-01-21,Urnenwahl,38555,5705,5611,94,,14.8,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2020.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2019,,,2019-01-19,Urnenwahl,38369,5633,5497,136,,14.7,Zusammen mit Urabstimmung „Kulturticket“,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2019.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2018,,,2018-03-16,Urnenwahl,37583,4948,4931,17,44,13.2,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2018-korrektur.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2017,,,2017-01-20,Urnenwahl,36518,5201,5165,36,74,14.2,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2017.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2016,,,2016-01-22,Urnenwahl,35167,6188,6105,83,298,17.6,Zusammen mit Urabstimmungen „fzs“ und „Unicard“,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2016.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2015,,,2015-01-23,Urnenwahl,33581,4412,4327,85,99,13.1,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2015.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2014,,,2014-01-24,Urnenwahl,32265,4259,4229,30,74,13.2,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2014.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2013,,,2013-01-23,Urnenwahl,30648,4380,4316,64,144,14.3,,https://wahlen.uni-bonn.de/content/ergebnisse/vorlaeufigesEndergebnis2013.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2012,,,2012-01-27,Urnenwahl,29109,4292,4154,54,84,14.8,,https://wahlen.uni-bonn.de//content/ergebnisse/vorlaeufigesEndergebnis2012.pdf
Rheinische Friedrich-Wilhelms-Universität Bonn,Studierendenparlament,2011,,,2011-01-21,Urnenwahl,26926,4565,4447,48,70,17.0,,https://wahlen.uni-bonn.de/content/ergebnisse/Endergebnis2011.pdf
